sample_name,Species,Genus,Family,Order,Clade,Reference,Sister taxa,tipage_low(mya),tipage_up(mya),node label,age (mya),age range,resource
Sapindaceae_Acer_florissantii_Florissant_CU_0114cu_crop,Acer florissantii,Acer,Sapindaceae,Rosales,rosids,Genus Acer,Genus Acer,37.2,28.4,Acer,56.8,56.8 - 0.0,paleodb
Osmundaceae_Acrostichites_sp_yale1,Acrostichites sp.,Acrostichites,Osmundaceae,Osmundales,ferns,Cibotium_splendens-Cyathea_fulva,Cyatheales,237,201.4,,,,
Pteridaceae_Acrostichum_hesperium_ucmp1,Acrostichum hesperium,Acrostichum,Pteridaceae,Polypodiales,ferns,Genus Acrostichum,Genus Acrostichum,56,48.6,,,,
Alethopteridaceae_Alethopteris_sullivanti_mason5,Alethopteris sullivanti,Alethopteris,Alethopteridaceae,Medullosales,gymnosperms,Taeniopteris_sp-Nilssonia_sp,Cycadales,303,122.46,Medullosales,358.9,358.9 - 145.00,paleodb
Medullosaceae_Alethopteris_whitneyi_yale2,Alethopteris whitneyi,Alethopteris,Alethopteridaceae,Medullosales,gymnosperms,Alethopteris_sullivanti,Cycadales,252,201,,,,
Polypodiaceae_Allantodiopsis_erosa_yale3,Allantodiopsis erosa,Allantodiopsis,Polypodiaceae,Polypodiales,ferns,Lemmaphyllum_microphyllum-Davallia_heterophylla,Polypodiales,65.5,55.8,Polypodiales,393.3,393.3 - 0.00,paleodb
Cyatheaceae_Alsophila_notabilis_gbif12,Alsophila notabilis,Alsophila,Cyatheaceae,Cyatheales,ferns,Cyathea_fulva-Cyathea_pinnata,Cyatheaceae,59.2,56,,,,
Pomaceae_Amelanchier_dignatus13312_florida1,Amelanchier dignatus,Amelanchier,Pomaceae,Rosales,rosids,Genus Amelanchier,Genus Amelanchier,33.9,23,Amelanchier,37.2,37.2 - 0.0,paleodb
Hamamelidaceae_Anceptophyllum_pulcrum_yale4,Anceptophyllum pulcrum,Anceptophyllum,Hamamelidaceae,Saxifragales,basal eudicots,Corylopsis_veitchiana-Hamamelis_virginiana,Hamamelidaceae,83.6,74.8,Hamamelidaceae,100.5,100.5 - 0.3,paleodb
Anemiaceae_Anemia_elongata_yale5,Anemia elongata,Anemia,Anemiaceae,Schizaeales,ferns,Genus Anemia,Genus Anemia,72.1,66,Anemia,140.2,140.2 - 41.3,paleodb
Anomozamites gracilis_Pott,Anomozamites gracilis,Anomozamites,Williamsoniaceae,Bennettitales,gymnosperms,Taeniopteris_sp-Nilssonia_sp,Cycadales,208.5,201.4,,,,
Rutaceae_Araliopsis_cretaceum_yale6,Araliopsis cretaceum,Araliopsis,Rutaceae,Sapindales,rosids,Choisya_arizonica-Megastigma_skinneri,Rutaceae,100.5,93.9,Rutaceae,100.5,100.5 - 0.3,paleodb
Platanaceae_Aspidiophyllum_trilobatum_yale7,Aspidiophyllum trilobatum,Aspidiophyllum,Platanaceae,Proteales,basal eudicots,Platanus_orientalis-Platanus_racemosa,Platanus,100.5,93.9,Platanaceae,112.03,112.03 - 0.01,paleodb
Atherospermataceae_Atherospermophyllum_guinazui_MPEF-Pb_MPEF-Pb-5639_crop,Atherospermophyllum guinazui,Atherospermophyllum ,Atherospermataceae,Laurales,basal angiosperms,Gomortega_keule-Siparuna_decipiens,Gomortegaceae,55.8,48.6,Atherospermataceae,83.5,83.5 -0.0,paleodb
Betulaceae_Betula_leopoldae_alberta3,Betula leopoldae,Betula,Betulaceae,Fagales,rosids,Genus Betula,Genus Betula,47.8,38,,,,
Sapotaceae_Bumelia_subspathulata_gbif19,Bumelia subspathulata,Bumelia,Sapotaceae,Ericales,asterids,Genus Bumelia,Genus Bumelia,23.3,20.43,Bumelia,48.6,48.6 - 2.59,paleodb
Betulaceae_Carpinus_cuspidata_gbif7,Carpinus cuspidata,Carpinus,Betulaceae,Fagales,rosids,Genus Carpinus,Genus Carpinus,59.2,0,,,,
Juglandaceae_Carya_libbeyi_Florissant_FLFO_004143_crop,Carya libbeyi,Carya ,Juglandaceae,Fagales,rosids,Genus Carya,Genus Carya,101,84,,,,
Fagaceae_Castaneophyllum_patagonicum_MPEF-Pb_MPEF-Pb-8202_crop,Castaneophyllum patagonicum,Castaneophyllum ,Fagaceae,Fagales,rosids,Fagus_sylvatica-Quercus_snookensis,Fagaceae,55.8,55.8,Fagaceae,105.3,105.3 - 0.00,paleodb
Ulmaceae_Cedrelospermum_lineatum_Florissant_FLFO_003367A_crop,Cedrelospermum lineatum,Cedrelospermum,Ulmaceae,Rosales,rosids,Ulmus_crassifolia-Zelkova_serrata,Ulmus,37.2,33.9,Ulmaceae,109,109.0 - 0.0,paleodb
Cercidiphyllaceae_Cercidiphyllum_genetrix_WilfWilf_USNM-loc-42041-060crop,Cercidiphyllum genetrix,Cercidiphyllum ,Cercidiphyllaceae,Saxifragales,basal eudicots,Genus Cercidiphyllum,Saxifragales,70.6,50.3,Cercidiphyllaceae,113,113.00 - 0.78,paleodb
Rosaceae_Cercocarpus_myricaefolius_Florissant_FLFO_004022_crop,Cercocarpus myricaefolius,Cercocarpus,Rosaceae,Rosales,rosids,Rosa_californica-Rubus_odoratus,"Rubus, Rosa",37.2,28.4,,,,
Cladophlebis fascinervata_Dengetal2017,Cladophlebis fascinervata,Cladophlebis,Osmundaceae,Osmundales,ferns,Cladophlebis_wielandi,Genus Cladophlebis,201.3,174.1,,,,
Osmundaceae_Cladophlebis_kurtzi_yale8,Cladophlebis kurtzi,Cladophlebis,Osmundaceae,Osmundales,ferns,Cladophlebis_wielandi,Genus Cladophlebis,247.2,237,,,,
Osmundaceae_Cladophlebis_mesozoica_yale9,Cladophlebis mesozoica,Cladophlebis,Osmundaceae,Osmundales,ferns,Cladophlebis_wielandi,Genus Cladophlebis,247.2,237,,,,
